treatment_key,year,location,test_id,experiment_name,watered,planting_date,digging_date,test_entry,variety_key,variety,treatment,block,plot_number,plot_weight,total_seed_weight,total_seed_count,calc_seed_weight_200,seed_weight_200,seed_weight_100,seed_per_pound,peanut_yield,moisture,tsmk,ok,dk,elk,fancy,maturity_code,maturity,market_type,plot_harvest_length,plot_harvest_width,plots_per_acre,plot_row_number,plot_column_number,notes,plots
AU-NPL 17ø507PN22-119,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,1,119,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,2,2,,
AU-NPL 17ø507PN22-217,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,2,217,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,7,5,,
AU-NPL 17ø507PN22-319,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,3,319,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,2,8,,
AU-NPL 17ø507PN22-416,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,4,416,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,16,8,,
AU-NPL 17ø507PN22-529,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,5,529,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,19,4,,
AU-NPL 17ø507PN22-615,2022,Midville,507PN,507PN22,TRUE,,,,1010,AU-NPL 17,,6,615,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,15,2,,
AU-NPL 17ø508PN22-119,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,1,119,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,2,2,,
AU-NPL 17ø508PN22-217,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,2,217,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,7,5,,
AU-NPL 17ø508PN22-319,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,3,319,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,2,8,,
AU-NPL 17ø508PN22-416,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,4,416,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,16,8,,
AU-NPL 17ø508PN22-529,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,5,529,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,19,4,,
AU-NPL 17ø508PN22-615,2022,Midville,508PN,508PN22,FALSE,,,,1010,AU-NPL 17,,6,615,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,15,2,,
AU-NPL 17ø607PN22-109,2022,Tifton,607PN,607PN22,TRUE,,,,1010,AU-NPL 17,,1,109,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,4,2,,
AU-NPL 17ø607PN22-209,2022,Tifton,607PN,607PN22,TRUE,,,,1010,AU-NPL 17,,2,209,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,3,7,,
AU-NPL 17ø607PN22-323,2022,Tifton,607PN,607PN22,TRUE,,,,1010,AU-NPL 17,,3,323,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,2,14,,
AU-NPL 17ø607PN22-423,2022,Tifton,607PN,607PN22,TRUE,,,,1010,AU-NPL 17,,4,423,,,,-9,,,-9,-9,,,,,,,,Unknown,,20,6,363,11,12,,
